City,AQI,PM2.5/1h,PM10/h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿克苏地区,500,199,1405,0.9,12,87,53,3
喀什地区,500,517,2335,0.85,4,100,47,6
和田地区,500,786,3086,0.7,12,58,42,19
克州,500,420,2230,1.0,13,102,79,3
库尔勒,500,196,923,0.73,8,96,59,6
酒泉,438,74,537,0.55,7,115,94,12
嘉峪关,197,49,342,0.4,8,104,91,25
张家口,170,63,287,1.4,33,92,77,17
阳泉,157,119,187,1.57,51,57,44,20
忻州,127,96,165,1.6,35,61,34,45
濮阳,124,93,132,1.23,36,78,53,21
三门峡,122,92,110,1.02,38,49,50,7
六盘水,119,89,137,0.94,19,84,71,13
石河子,119,89,109,1.0,21,84,46,16
开封,119,89,115,1.15,43,48,39,16
朔州,116,87,172,1.28,50,97,72,37
聊城,115,86,124,1.27,43,86,40,34
德宏州,107,60,161,0.65,19,108,67,21
晋城,106,79,151,1.02,21,88,69,12
长治,99,74,128,1.88,29,81,65,19
呼和浩特,99,57,146,1.29,54,63,49,42
郑州,98,73,110,1.1,48,48,45,15
晋中,98,68,144,1.5,47,64,47,25
洛阳,97,72,137,1.29,53,27,26,10
太原,96,71,135,0.9,29,80,42,20
南宁,96,71,109,1.31,38,107,60,10
荆门,95,65,138,0.98,29,51,59,7
张掖,95,26,137,0.35,2,109,84,9
安顺,94,70,88,0.98,27,25,22,11
大同,92,68,127,1.15,20,117,78,42
焦作,92,52,131,0.8,29,77,54,14
包头,92,68,131,1.07,37,92,67,29
钦州,91,67,94,1.4,20,73,58,18
许昌,87,64,97,1.0,32,56,44,12
石家庄,87,64,95,1.0,27,78,45,17
乌兰察布,87,36,121,0.5,17,105,64,32
巴彦淖尔,87,43,121,0.75,22,105,58,19
新乡,86,42,119,1.0,29,83,59,11
菏泽,86,56,120,1.33,47,71,45,20
宜宾,85,62,91,0.98,34,50,36,15
红河州,84,36,79,0.57,9,161,139,8
玉林,82,60,81,1.43,18,54,38,10
来宾,82,46,111,0.9,22,65,57,9
贵港,81,59,91,1.0,16,81,59,8
邯郸,81,59,101,1.02,23,103,72,18
百色,81,59,106,1.45,15,102,72,10
拉萨,80,16,107,0.48,6,98,92,5
果洛州,80,8,25,0.6,13,92,134,22
鹤壁,80,45,107,0.8,30,86,61,18
西宁,80,58,92,1.55,22,100,68,11
